"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014"
"Equatorial Guinea",2095.35225555556,2224.93528888889,2000.78093333333,2053.38851111111,1699.6129,2315.68194444444,2246.969,2011.31332222222,1994.62656666667,2304.19335555556,2090.91903333333,1882.71331111111,1882.26712222222,1712.24313333333,1874.83623333333,2069.32473333333,2043.89415555556,2064.12983333333,1965.54862222222,2033.79777777778,2100.98343333333,1922.85362222222,2043.8572,2302.79454444444,1918.65837777778,1834.29782222222,1823.66483333333,2098.01547777778,2272.10556666667,1640.07584444444,1727.97845555556,1903.246,1566.909,1901.76456666667,1999.78912222222,1927.61916666667
"Uganda",1164.87954390244,1140.50316707317,1262.29339634146,1357.63929756098,1191.86032195122,1125.43992317073,1315.52198292683,1247.83020365854,1227.36804146341,1463.17947926829,1236.7680402439,1283.07008170732,1281.49503292683,1218.34743048781,1121.4126195122,1358.41523414634,1249.02970121951,1316.15784146341,1374.31187317073,1259.69164756098,1299.98767073171,1144.68945365854,1356.09445853659,1278.06575731707,1246.69032804878,1241.18901707317,1144.31007682927,1391.25498780488,1306.7370695122,1291.34581219512,1138.25823780488,1242.61144268293,1288.93852926829,1260.70730731707,1173.44081219512,1118.3445097561
"Congo",1672.84010363636,1703.12787181818,1652.16456636364,1607.45732454545,1376.70415181818,1636.45980818182,1743.01951636364,1607.38219909091,1614.87278545455,1776.54707909091,1721.45109454545,1753.12206545455,1556.70863909091,1588.67635,1555.44313,1648.31333636364,1643.99351636364,1550.58707181818,1592.92176181818,1601.61566545455,1781.44371,1733.44144090909,1608.22699636364,1745.22028818182,1522.90579727273,1537.61202636364,1469.28525909091,1650.32622181818,1873.73976909091,1567.94472727273,1677.50599545455,1635.85650363636,1632.88878,1560.28367636364,1574.80926727273,1562.89599818182
"Gabon",1753.57502857143,1941.08017619048,1791.799475,1703.19085,1360.33334642857,1979.64328809524,1961.67516666667,1729.71340357143,1720.95004880952,2039.81071904762,1860.08008809524,1805.60559880952,1692.88713809524,1561.18467380952,1647.89073095238,1846.3504,1843.78686547619,1736.07582738095,1760.88574047619,1680.22117738095,1884.22138095238,1855.72122380952,1778.11600833333,1962.63886547619,1746.96920595238,1556.04348809524,1612.1107297619,1841.81170714286,2104.61214880952,1587.03319761905,1816.05931785714,1828.13963095238,1671.16555595238,1803.80571071429,1755.56898333333,1798.86457261905
"Sao Tome and Principe",1003.8396,763.7571,991.4581,960.9889,630.3359,1534.1404,1363.1583,1169.1579,1005.1128,1684.9717,1381.167,1042.47,1108.8325,1106.6429,1457.6877,1261.9143,1694.2245,1394.0589,1417.8375,1647.7211,1822.7304,1348.4622,1234.6855,1773.8307,1669.7646,1252.5947,1034.8638,1193.5471,1746.1973,1217.6699,1300.7359,905.2695,899.3329,1307.4603,1143.4801,1188.4448
"Rwanda",1401.30633,1358.51722,1443.53949,1487.78385,1397.81364,1325.76161,1382.80444,1438.84766,1346.01346,1479.50793,1305.28022,1322.043,1339.21826,1335.01894,1290.807,1509.86935,1382.86062,1389.71662,1544.85679,1437.57517,1427.86494,1398.60153,1598.81891,1431.73723,1397.1979,1563.69502,1347.42145,1653.85889,1590.89352,1526.49626,1406.02223,1540.8972,1565.5546,1433.87456,1327.72787,1291.82705
"United Republic of Tanzania",1279.7728503268,1066.15416928105,971.229218954248,1249.34111601307,948.678195424837,1106.82688823529,1048.88764477124,1174.87884836601,941.429644117647,1027.29321797386,1227.16723300654,1044.16871666667,1030.21785130719,960.018969607843,899.153013398693,1029.15448006536,935.659269281046,923.445553267974,1133.90592418301,949.590385947712,951.156273856209,922.092191830065,897.884103921569,1090.54032124183,766.19664248366,1023.47785947712,709.991191830065,1219.19121568627,971.195404248366,973.014685620915,931.593888562091,837.285682352941,1106.14585196078,882.382464379085,912.815704248366,966.61067124183
"Burundi",1265.52842,1179.5192,1231.61836,1379.4382,1166.77662,1119.8947,1273.16598,1327.07102,1248.24778,1350.65534,1358.61102,1265.25478,1223.7898,1149.12468,1027.18766,1192.88852,1044.00672,1101.92028,1377.7848,1196.88378,1221.56272,1222.91782,1346.74364,1302.15458,1116.81002,1347.9279,1020.56066,1488.11624,1323.29474,1345.97064,1270.59978,1264.1786,1452.23776,1208.54956,1165.84024,1136.41666
"Angola",1096.57181057692,949.918785576923,984.863240865385,1023.71243701923,1007.94037259615,1051.39141971154,1005.91049326923,1132.60416875,996.988084134615,1175.95213197115,985.996880769231,1004.10243629808,1035.33152259615,927.564006730769,1069.57365600962,990.655006971154,959.973678605769,1000.71881826923,1061.11644639423,976.425850240385,1034.80735120192,986.225813461538,1074.77910889423,1031.06182668269,972.409884615385,1017.39589855769,1059.11837596154,1186.84678293269,1163.46890793269,978.979920192308,1087.82598918269,1006.35738413462,1071.54655600962,985.825422596154,850.496683894231,945.421988942308
"Zambia",1147.1418348,1022.8601684,973.8916692,1023.2829564,922.9351836,990.012588,1007.0930528,1160.3431776,852.9304304,1014.1686252,1123.4453192,941.5034448,1015.0007412,825.9906756,1037.5086312,802.9243784,801.925216,990.4071648,1140.3038416,980.0074276,955.4588032,1136.588824,1095.7994568,917.4673232,966.3247384,1106.6088976,845.840934,1192.1279444,1101.7873832,1083.0636172,1070.2785364,1066.0135244,1080.8693432,1029.4221856,929.3197716,982.7436368
"Malawi",1170.08576052632,1199.78205,979.129228947368,1204.11570526316,949.201489473684,1166.39343421053,1224.35378421053,1293.76364736842,875.611302631579,1145.53368947368,1410.07647105263,881.892360526316,1102.04722105263,825.010721052632,1054.1349,873.288784210526,957.476207894737,1221.12736578947,1336.64224736842,992.082221052632,1155.28226052632,1232.43510263158,1244.90765263158,1125.08064473684,1151.91653684211,1292.46288684211,915.329342105263,1277.08388684211,1226.22847105263,1157.57626052632,1141.93559736842,1017.02616315789,1059.13973421053,1038.67539736842,1062.81248157895,1054.00827631579
"Mozambique",1004.0762835206,1017.2302093633,1031.9399741573,1031.87135468165,891.226526217229,1100.45111535581,1169.59706629213,1131.36111722846,836.408061423221,1034.02990674157,1187.06854007491,842.782035955056,988.146846816479,739.586628838951,975.133219101124,839.548992134831,886.759863670412,1108.64494344569,1219.03472359551,967.139704494382,1135.59525617978,1399.0999659176,1221.41489513109,890.523556179775,1014.1440752809,1112.1387741573,812.299848314607,1065.67498501873,1210.49803183521,1005.27023183521,921.414911985019,942.154547565543,918.003668164794,961.18503258427,1061.82213146067,1005.43063333333
"Comoros",1635.5152,2709.9828,1267.5707,1570.9454,1973.9694,1440.0821,1400.839,1163.0661,939.5161,959.1575,1268.4461,933.2594,1204.2911,724.7068,1018.9867,1032.9289,920.6466,1039.3639,785.2589,959.678,913.5197,810.3047,736.49,1036.5782,926.4051,1045.8794,836.098,1121.5824,675.0256,984.9665,792.2723,802.7585,1601.8015,1562.0723,1660.4252,1384.4285
"Madagascar",1558.08724221106,1564.42123718593,1599.03426080402,2045.2470959799,1609.01112964824,2022.79749798995,1642.98727135678,1709.94713517588,1422.73450703518,1378.00280452261,1783.56917135678,1233.52390603015,1514.81144623116,1387.7528120603,1471.15226934673,1563.86079045226,1531.31689095477,1445.37701708543,1384.68431306533,1537.74512763819,1364.19731356784,1532.45198592965,1414.27922462312,1654.64196582915,1683.59550351759,1819.01208994975,1513.71308090452,1522.50591708543,1768.11975527638,1378.00593819095,1433.2219919598,1328.42379095477,1374.8991040201,1562.36742964824,1275.47258944724,1328.46269547739
"Zimbabwe",636.422745588235,701.358794852941,882.047388970588,511.323290441176,524.825825,623.818688970588,803.377583823529,764.269110294118,517.981477941176,715.503134558824,707.712102205882,654.580247058823,552.777563970588,504.980280147059,708.319425735294,500.651208823529,489.115915441176,791.411556617647,842.334546323529,684.642053676471,747.128191911765,1043.82788676471,910.782320588235,430.661354411765,618.780266176471,789.947698529412,565.332529411765,738.014902941177,787.483677941176,699.676813970588,679.199980882353,710.658135294118,678.649000735294,535.765416176471,708.494019117647,793.614842647059
"Namibia",326.634099651568,267.959043554007,186.696420209059,266.601010801394,253.697034843206,235.525057491289,281.780403484321,290.563048083624,236.80563554007,324.250678397213,272.999069686411,283.416703135888,331.463860278746,145.438605923345,327.576132055749,252.371605923345,209.466257142857,240.953295470383,366.525820905923,193.011898954704,295.597516376307,366.981157491289,326.859530313589,264.892071428571,216.192040418118,331.950771777003,279.929283275261,569.745587804878,196.032102090592,432.092184320557,446.380385365854,320.693468641115,483.842493031359,332.796511149826,213.530613240418,338.390361324042
"Botswana",370.962069417476,435.049077669903,496.446275728155,345.250546601942,367.642938349515,287.702388349515,322.906775728155,392.835281067961,343.171290291262,559.152640291262,505.785834466019,334.405733009709,489.668538349515,253.492537378641,409.218501456311,319.337711650485,379.170099029126,505.969979611651,520.756529611651,396.962375728155,363.929663106796,717.332766990291,523.123766019418,310.149648543689,299.665320873786,484.544136893204,405.316446116505,714.901214563107,363.227272815534,498.02676407767,575.859387378641,585.752237378641,562.592210679612,382.320312621359,356.471134466019,564.483624757282
"Mauritius",715.8951,696.9182,678.6402,852.044,595.4866,521.8239,766.4826,635.9245,760.0676,574.9418,633.8895,505.4509,499.5949,555.7236,603.2469,471.6703,1070.5585,814.6027,625.0203,575.2715,475.9454,520.2611,432.6223,768.8114,790.1347,849.1037,929.5892,701.3451,516.4772,865.9169,600.3216,631.7221,565.6051,376.414,687.6288,679.0649
"Reunion",758.8567,705.3639,718.7776,836.2853,634.7472,637.5842,881.6978,734.0573,808.6505,610.4242,852.1692,513.1673,577.1869,494.1994,785.2252,598.3448,845.4096,785.2711,640.5067,631.7695,490.6357,510.1604,471.2392,897.5376,930.2768,631.145,817.3164,744.6678,725.3663,771.4556,806.7788,760.0456,694.3395,583.5258,764.8757,642.5049
"South Africa",467.972753555556,476.325430222222,597.503388444444,422.056162222222,463.345936444444,453.643839111111,560.953044666667,476.036059777778,536.310481111111,664.419883555556,570.100817777778,443.129823555556,576.431998666667,351.111026888889,511.577555111111,424.066892444444,564.255067111111,664.471079111111,558.741048888889,531.948558888889,447.017359777778,696.971414,626.888833555555,483.103546444444,368.342038222222,524.408078,445.669990888889,696.78058,488.333636666667,497.717762222222,565.648144444444,545.669331777778,559.019915111111,496.794339777778,469.509611777778,469.225771111111
"Swaziland",689.077,838.8442,958.1606,575.368,835.4492,1150.5943,859.8342,734.4682,959.0647,904.2257,962.9286,733.5873,855.7725,568.8355,813.3813,667.7359,841.4688,1031.219,976.06,894.1075,940.8339,1378.1983,820.2678,564.9937,503.5961,902.3679,724.3033,1071.932,685.4824,720.8084,943.5793,886.2214,708.2977,876.6267,928.2339,725.4511
"Lesotho",790.925091666667,718.132575,879.166958333333,682.883783333333,757.370916666667,734.608625,853.892866666667,857.487325,983.099908333333,1091.533075,918.767908333333,694.013316666667,904.462975,559.196883333333,833.070141666667,686.602583333333,893.985316666667,1069.81729166667,974.924483333333,945.22155,642.158275,987.787933333333,982.212,817.915408333333,622.363291666667,844.4144,806.540233333333,1121.246825,726.876291666667,825.418566666667,939.907766666667,897.401525,850.9891,821.996391666667,743.326666666667,650.459725
