"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014"
"Cyprus",583.50175,544.379,798.5377,461.5144,607.2673,586.0049,558.15765,492.42835,644.75345,729.6938,425.92155,374.16185,658.73535,536.8688,371.4292,683.0814,422.05145,586.55365,563.92925,531.59285,393.4241,613.16865,685.75365,555.41525,582.8164,563.03515,456.30465,497.73225,507.0228,351.5528,788.1191,527.77165,561.9938,714.91635,344.6794,498.64355
"Lebanon",421.3235,497.3964,451.9687,415.5391,408.9795,411.6659,305.1711,401.077,412.7187,491.4142,236.5906,255.7939,503.4026,475.7942,291.6409,531.6144,258.0383,413.9362,470.7781,328.6431,205.9912,365.271,349.7488,430.1855,538.1975,394.8521,380.0869,375.1017,349.3273,265.672,434.7922,297.6595,402.9287,452.9643,315.846,245.7433
"Jordan",185.306565714286,202.972197142857,96.1853514285714,194.51906,145.565588571429,121.576288571429,149.449088571429,172.388617142857,151.155251428571,239.43676,107.696357142857,124.087042857143,223.699554285714,196.043988571429,110.767474285714,221.602302857143,84.4466628571429,137.661814285714,173.304774285714,115.4924,70.8997314285714,126.983142857143,161.810965714286,173.210508571429,150.01968,134.270728571429,112.566488571429,127.632542857143,117.804925714286,93.7484857142857,125.156008571429,130.948468571429,123.399834285714,143.703382857143,131.46356,128.73896
"Libyan Arab Jamahiriya",63.6951741116751,71.0384566835871,75.1897749576988,78.8373629441624,62.7543918781726,60.5057165820643,54.1811351945855,74.6342434856176,44.8749153976311,67.027276142132,40.6317067681895,65.4881868020305,89.1764758037225,42.0176906937394,53.2556060913706,74.9275741116751,71.5654434856176,43.8582989847716,50.2554181049069,53.4210653130288,42.9053778341794,51.2178749576988,48.4256241962775,46.9836937394247,45.3100456852792,38.9048686971235,65.293144500846,71.7150005076142,52.5839553299492,57.8531098138748,46.6976170896785,38.400976142132,61.7529086294416,53.835527749577,41.6290854483926,41.4353165820643
"Israel",223.221357142857,252.3594,149.926642857143,230.442528571429,208.924271428571,167.330928571429,185.764642857143,242.599628571429,187.221014285714,280.322771428571,153.700628571429,163.6487,312.313857142857,277.347228571429,152.599614285714,310.390742857143,126.347357142857,189.3508,239.9529,159.531528571429,106.202114285714,210.103971428571,202.405714285714,244.562042857143,228.935585714286,204.926728571429,178.1957,190.015842857143,172.2283,146.364571428571,181.454514285714,165.519757142857,200.853128571429,217.170328571429,185.020171428571,168.507042857143
"Palestine",236.3688,261.8881,111.6755,215.0015,201.2148,145.0007,189.0571,209.2346,164.5464,282.5628,135.6833,155.3863,290.1378,265.6722,125.7308,278.895,97.74,170.6203,219.7413,141.6974,87.696,157.2236,211.6666,229.2194,184.372,169.4501,151.5907,164.2928,148.1122,123.8802,155.9899,160.172,158.8162,179.0032,160.9038,155.963
"Saudi Arabia",127.232668201439,110.30277323741,106.129861870504,185.52724705036,112.406217985612,89.5624458992806,117.671470791367,120.353346618705,86.9446795683453,97.9371269064748,132.624885899281,62.1812833093525,88.8595276258993,120.400727769784,137.755510071942,84.7797152517986,142.571184460432,130.441429928058,155.741290647482,99.859458705036,66.5995890647482,66.194466618705,67.909078705036,78.629325323741,85.155730647482,82.4107058992806,104.547701294964,84.1733343884892,54.7845856115108,53.461951942446,69.6130382733813,69.1948316546763,60.1447267625899,69.2388656115108,92.1238025899281,67.1149860431655
"Egypt",29.2955350828729,33.5141571823204,25.6109104972376,29.8266008287293,33.1985737569061,22.3561317679558,30.4150682320442,27.2984961325967,26.9202859116022,44.1798113259669,27.2949129834254,23.4488359116022,52.8854737569061,35.0480607734807,29.0445955801105,50.3576491712707,22.1299870165746,27.4174428176796,36.7977718232044,33.5912450276243,19.345708839779,35.7129748618785,25.2365812154696,29.9918132596685,30.8074966850829,25.9758712707182,29.1648386740331,24.6734367403315,28.9934331491713,27.6828444751381,30.7582709944751,31.7451359116022,34.056129281768,40.1915284530387,32.7853439226519,33.6591569060773
"Kuwait",127.130025,137.572625,146.30195,229.0564625,93.2893625,141.4605,122.7427125,190.123025,128.3835875,148.3259125,175.16055,83.1244,189.2085,209.8161875,254.6821625,217.1884,261.7024375,225.3588375,255.546825,203.3515875,193.340175,190.276125,135.5629625,149.3052375,131.1583625,189.2366375,224.371325,170.294925,122.773075,78.3961375,144.9540125,70.7284,95.42965,129.9615375,125.8844625,133.8957625
"Pakistan",139.887344680851,105.018519148936,79.5308765957447,271.833234042553,150.910380851064,86.2221425531915,55.4074659574468,98.0778723404255,96.1246787234043,93.0990276595745,80.9950978723404,114.8435,136.892625531915,148.548540425532,51.5534404255319,150.072180851064,154.22904893617,118.599619148936,226.358380851064,99.5179063829787,79.9573212765957,28.5688574468085,44.0046255319149,42.5433510638298,108.955278723404,75.7340765957447,159.8449,133.77489787234,207.214476595745,123.866753191489,141.604074468085,133.377168085106,176.370857446809,102.773610638298,190.973293617021,117.438014893617
